LatinName,PolishName,Description,Edibility,Toxicity,Habitat
Inocybe mucidiolens,Strzępiak śluzowonny,Grzyb o brązowym kapeluszu o śluzowatym zapachu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Inocybe pallidicremea,Strzępiak bladokremowy,"Grzyb o bladokremowym, włóknistym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Inocybe tahquamenonensis,Strzępiak tahquamenoński,"Grzyb o brązowym, włóknistym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Inocybe whitei,Strzępiak White'a,"Grzyb o brązowym, włóknistym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Irpex lacteus,Porokolczak mleczny,"Grzyb o białawym, konsolowatym owocniku z kolcami na spodzie. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Ischnoderma resinosum,Żylak żywiczny,"Grzyb o brązowym, konsolowatym owocniku wydzielającym żywicę. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Jahnoporus hirtus,Jamkówka kosmata,"Grzyb o brązowym, konsolowatym owocniku pokrytym szczecinkami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Kuehneromyces lignicola,Łuskwiak nadrewnowy,Grzyb o brązowym kapeluszu pokrytym łuskami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się od lata do jesieni,Niejadalny,Nie trujący,"Liściasty
"
Kuehneromyces marginellus,Łuskwiak obrzeżony,Grzyb o brązowym kapeluszu z jaśniejszym brzegiem. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się od lata do jesieni,Niejadalny,Nie trujący,"Liściasty
"
Laccaria,Lakówka,Rodzaj grzybów o różowych lub fioletowych blaszkach. Rosną na ziemi w lasach. Owocniki pojawiają się od lata do jesieni,Jadalny,Nie trujący,"Mieszany
"
Laccaria amethysteo-occidentalis,Lakówka ametystowa zachodnia,Grzyb o fioletowym kapeluszu i blaszkach. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Iglasty
"
Laccaria amethystina,Lakówka ametystowa,Grzyb o fioletowym kapeluszu i blaszkach. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Laccaria ochropurpurea,Lakówka purpurowawa,Grzyb o purpurowawym kapeluszu i blaszkach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Lacrymaria,Kruchaweczka,Rodzaj grzybów o łuskowatych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się od lata do jesieni,Niejadalny,Nie trujący,"Mieszany
"
Lacrymaria lacrymabunda,Kruchaweczka płacząca,"Grzyb o brązowym, łuskowatym kapeluszu. Rośnie na ziemi w lasach i na łąkach. Owocniki pojawiają się od lata do jesieni",Niejadalny,Nie trujący,"Mieszany
"
Lactarius,Mleczaj,Rodzaj grzybów wydzielających mleczko po uszkodzeniu. Rosną na ziemi w lasach. Owocniki pojawiają się od lata do jesieni,"Niektóre jadalne, inne niejadalne",Niektóre trujące,"Mieszany
"
Lactarius alnicola,Mleczaj olszowy,Grzyb o pomarańczowym kapeluszu wydzielający białe mleczko. Rośnie pod olchami. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius atroviridis,Mleczaj ciemnozielony,Grzyb o ciemnozielonym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius chrysorrheus,Mleczaj złocisty,Grzyb o pomarańczowym kapeluszu wydzielający żółte mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius controversus,Mleczaj wełnianka,Grzyb o białawym kapeluszu z różowymi plamami wydzielający białe mleczko. Rośnie pod topolami. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius croceus,Mleczaj szafranowy,Grzyb o pomarańczowym kapeluszu wydzielający pomarańczowe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius deliciosus,Mleczaj rydz,Grzyb o pomarańczowym kapeluszu z zielonkawymi plamami wydzielający pomarańczowe mleczko. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Iglasty
"
Lactarius glyciosmus,Mleczaj kokosowy,Grzyb o szarobrązowym kapeluszu o zapachu kokosa wydzielający białe mleczko. Rośnie w lasach brzozowych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius indigo,Mleczaj modry,Grzyb o niebieskim kapeluszu wydzielający niebieskie mleczko. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Iglasty
"
Lactarius maculatipes,Mleczaj plamistostopy,Grzyb o brązowym kapeluszu i plamistym trzonie wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius mammosus,Mleczaj brodawkowaty,Grzyb o szarobrązowym kapeluszu z brodawką wydzielający białe mleczko. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Lactarius oculatus,Mleczaj oczkowaty,Grzyb o brązowym kapeluszu z jaśniejszymi plamkami wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius paradoxus,Mleczaj osobliwy,Grzyb o fioletowawym kapeluszu wydzielający fioletowe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius peckii,Mleczaj Pecka,Grzyb o pomarańczowym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius rubidus,Mleczaj czerwonawy,Grzyb o czerwonawym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius rubrilacteus,Mleczaj czerwonomleczny,Grzyb o czerwonawym kapeluszu wydzielający czerwone mleczko. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Lactarius rufulus,Mleczaj rudawy,Grzyb o rudawym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius subplinthogalus,Mleczaj ceglastomięsny,Grzyb o ceglastym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius subpurpureus,Mleczaj purpurowofioletowy,Grzyb o purpurowofioletowym kapeluszu wydzielający fioletowe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactarius vinaceorufescens,Mleczaj winnobrązowiejący,"Grzyb o brązowym kapeluszu wydzielający białe mleczko, które brązowieje. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Lactifluus corrugis,Mleczaj pomarszczony,"Grzyb o pomarszczonym, brązowym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Lactifluus deceptivus,Mleczaj zwodniczy,Grzyb o białawym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lactifluus glaucescens,Mleczaj zielonawiejący,"Grzyb o białawym kapeluszu wydzielający białe mleczko, które zielenieje. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Lactifluus hygrophoroides,Mleczaj wodnicowaty,Grzyb o białawym kapeluszu wydzielający białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Lactifluus piperatus,Mleczaj biel,"Grzyb o białym kapeluszu wydzielający białe, ostre mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Lactifluus volemus,Mleczaj smaczny,Grzyb o pomarańczowobrązowym kapeluszu wydzielający obfite białe mleczko. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Lactocollybia,Mleczajówka,Rodzaj małych grzybów o białawych kapeluszach. Rosną na martwym drewnie. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Mieszany
"
Laeticutis cristata,Żagwica grzebieniasta,"Grzyb o konsolowatym, białawym owocniku z grzebieniastymi wyrostkami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Laetiporus,Żółciak,"Rodzaj grzybów o jaskrawożółtych, konsolowatych owocnikach. Rosną na żywych i martwych drzewach. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Mieszany
"
Laetiporus cincinnatus,Żółciak siarkowy,"Grzyb o jaskrawożółtym, konsolowatym owocniku. Rośnie na drzewach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Liściasty
"
Laetiporus conifericola,Żółciak iglastolubny,"Grzyb o jaskrawożółtym, konsolowatym owocniku. Rośnie na drzewach iglastych. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Iglasty
"
Laetiporus gilbertsonii,Żółciak Gilbertsona,"Grzyb o jaskrawożółtym, konsolowatym owocniku. Rośnie na drzewach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Liściasty
"
Laetiporus persicinus,Żółciak brzoskwiniowy,"Grzyb o brzoskwiniowym, konsolowatym owocniku. Rośnie na drzewach liściastych. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Liściasty
"
Lanmaoa pallidorosea,Borowik bladoróżowy,Grzyb o bladoróżowym kapeluszu i żółtych porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Laricifomes officinalis,Modrzewnik lekarski,"Grzyb o konsolowatym, białawym owocniku. Rośnie na modrzewiach. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Iglasty
"
Leccinum,Koźlarz,Rodzaj grzybów o kapeluszach pokrytych łuskami lub brodawkami. Rosną w symbiozie z drzewami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Leccinum duriusculum,Koźlarz topolowy,Grzyb o szarobrązowym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod topolami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum holopus,Koźlarz białawy,Grzyb o białawym kapeluszu pokrytym drobnymi łuskami. Rośnie pod brzozami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum insigne,Koźlarz pomarańczowożółty,Grzyb o pomarańczowożółtym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod topolami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum longicurvipes,Koźlarz długotrzonowy,"Grzyb o brązowym kapeluszu i długim, wygiętym trzonie. Rośnie pod brzozami. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Leccinum luteum,Koźlarz żółty,Grzyb o żółtym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod brzozami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum manzanitae,Koźlarz manzanitowy,Grzyb o brązowym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod manzanitą. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum pseudoscabrum,Koźlarz grabowy,Grzyb o szarobrązowym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod grabami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum rugosiceps,Koźlarz pomarszczony,"Grzyb o pomarszczonym, brązowym kapeluszu. Rośnie pod dębami. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Leccinum scabrum,Koźlarz babka,Grzyb o szarobrązowym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod brzozami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum snellii,Koźlarz Snella,Grzyb o brązowym kapeluszu pokrytym ciemnymi łuskami. Rośnie pod dębami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leccinum variicolor,Koźlarz różnobarwny,Grzyb o kapeluszu zmieniającym kolor od białawego do brązowego. Rośnie pod brzozami. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Lentinula edodes,Twardziak shiitake,Grzyb o brązowym kapeluszu. Uprawiany komercyjnie. Owocniki pojawiają się przez cały rok,Jadalny,Nie trujący,"Liściasty
"
Lentinus,Twardziak,"Rodzaj grzybów o twardych, skórzastych owocnikach. Rosną na martwym drewnie. Owocniki pojawiają się przez cały rok","Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Lentinus arcularius,Twardziak miseczkowaty,"Grzyb o miseczkowatym, brązowym kapeluszu. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Lentinus brumalis,Twardziak zimowy,"Grzyb o lejkowatym, brązowym kapeluszu. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się zimą i wczesną wiosną",Niejadalny,Nie trujący,"Liściasty
"
Leotia lubrica,Patyczka lepka,"Grzyb o główkowatym, oliwkowożółtym owocniku na smukłym trzonie. Rośnie na ziemi w lasach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Lepiota,Czubajka,Rodzaj grzybów o łuskowatych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne śmiertelnie trujące",Niektóre śmiertelnie trujące,"Mieszany
"
Lepiota cristata,Czubajka czerwieniejąca,"Grzyb o białawym kapeluszu pokrytym brązowymi łuskami, czerwieniejący po uszkodzeniu. Rośnie na ziemi w lasach i parkach. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Mieszany
"
Lepiota magnispora,Czubajka wielkozarodnikowa,Grzyb o białawym kapeluszu pokrytym brązowymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Lepiota rubrotinctoides,Czubajka czerwonawa,Grzyb o białawym kapeluszu pokrytym czerwonawymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Lepiota trichroma,Czubajka trójbarwna,Grzyb o białawym kapeluszu pokrytym brązowymi i różowymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Lepista glaucocana,Gąsówka zielonawa,Grzyb o szarozielonawym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Lepista irina,Gąsówka fioletowawa,Grzyb o fioletowawym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Lepista martiorum,Gąsówka marcowa,Grzyb o szarobrązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się wczesną wiosną,Jadalny,Nie trujący,"Liściasty
"
Lepista nuda,Gąsówka fioletowa,Grzyb o fioletowym kapeluszu. Rośnie na ziemi w lasach liściastych i iglastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Mieszany
"
Lepista tarda,Gąsówka późna,Grzyb o szarobrązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się późną jesienią,Jadalny,Nie trujący,"Liściasty
"
Leptonia,Dzwonkówka,Rodzaj małych grzybów o kolorowych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,Niejadalny,Niektóre trujące,"Mieszany
"
Leratiomyces ceres,Pierścieniak pomarańczowożółty,Grzyb o pomarańczowożółtym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Leratiomyces percevalii,Pierścieniak Percevala,Grzyb o brązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Leratiomyces riparius,Pierścieniak nadbrzeżny,Grzyb o brązowym kapeluszu. Rośnie na wilgotnej ziemi nad brzegami wód. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Leucoagaricus,Białoczubajka,Rodzaj grzybów o białych lub jasnych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne trujące",Niektóre trujące,"Mieszany
"
Leucoagaricus americanus,Białoczubajka amerykańska,Grzyb o białym kapeluszu pokrytym brązowymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Leucoagaricus barssii,Białoczubajka Barssa,Grzyb o białym kapeluszu pokrytym brązowymi łuskami. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Leucocoprinus,Czubajeczka,Rodzaj małych grzybów o białych lub żółtawych kapeluszach. Rosną na ziemi w lasach i ogrodach. Owocniki pojawiają się latem i jesienią,Niejadalny,Niektóre trujące,"Mieszany
"
Leucocoprinus birnbaumii,Czubajeczka żółta,Grzyb o jaskrawożółtym kapeluszu. Rośnie na ziemi w doniczkach i szklarniach. Owocniki pojawiają się przez cały rok,Niejadalny,Trujący,"Liściasty
"
Leucocoprinus cepistipes,Czubajeczka cebulowata,Grzyb o białym kapeluszu i cebulowatej podstawie trzonu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Leucocoprinus fragilissimus,Czubajeczka delikatna,"Grzyb o bardzo delikatnym, białym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Leucopaxillus gentianeus,Białokrowiak gorzkawy,Grzyb o białawym kapeluszu o gorzkim smaku. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Leucopholiota decorosa,Łuskwiak ozdobny,Grzyb o białawym kapeluszu pokrytym brązowymi łuskami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Lichenomphalia umbellifera,Pępówka tarczowata,"Grzyb o małym, żółtawym, pępkowatym kapeluszu. Rośnie na mchach i porostach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Limacella,Ślimacznica,Rodzaj grzybów o śluzowatych kapeluszach. Rosną na ziemi w lasach. Owocniki pojawiają się latem i jesienią,Niejadalny,Niektóre trujące,"Mieszany
"
Lycoperdon,Purchawka,Rodzaj grzybów o kulistych owocnikach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,Jadalny (gdy młody),Nie trujący,"Mieszany
"
Lycoperdon perlatum,Purchawka gruszkowata,"Grzyb o gruszkowatym, białawym owocniku pokrytym brodawkami. Rośnie na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Mieszany
"
Lycoperdon pyriforme,Purchawka gruszkowata,"Grzyb o gruszkowatym, brązowawym owocniku. Rośnie na martwym drewnie. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Mieszany
"
Lyophyllum,Kępkowiec,Rodzaj grzybów rosnących w kępkach. Rosną na ziemi w lasach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Lyophyllum decastes,Kępkowiec ciemnoszary,Grzyb o szarobrązowym kapeluszu rosnący w kępkach. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Macrocybe titans,Olbrzymka tytaniczna,"Grzyb o bardzo dużym, białawym kapeluszu. Rośnie na ziemi w lasach tropikalnych. Owocniki pojawiają się przez cały rok",Jadalny,Nie trujący,"Liściasty
"
Macrocystidia cucumis,Stożkownica ogórkowa,"Grzyb o stożkowatym, brązowym kapeluszu o zapachu ogórka. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Macrolepiota,Czubajka,Rodzaj dużych grzybów o łuskowatych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Mieszany
"
Macrolepiota procera,Czubajka kania,"Grzyb o dużym, białawym kapeluszu pokrytym brązowymi łuskami. Rośnie na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Mieszany
"
Marasmiellus candidus,Twardzioszek biały,"Grzyb o małym, białym kapeluszu. Rośnie na martwych gałązkach drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmiellus luxurians,Twardzioszek okazały,"Grzyb o małym, białawym kapeluszu. Rośnie na martwych gałązkach drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmiellus peronatus,Twardzioszek cierpki,"Grzyb o małym, brązowawym kapeluszu o ostrym smaku. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmiellus subnudus,Twardzioszek nagi,"Grzyb o małym, białawym kapeluszu. Rośnie na martwych gałązkach drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius,Twardzioszek,Rodzaj małych grzybów o wytrzymałych owocnikach. Rosną na ściółce i martwym drewnie. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Marasmius albogriseus,Twardzioszek białoszary,"Grzyb o małym, białoszarym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius delectans,Twardzioszek przyjemny,"Grzyb o małym, białawym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius nigrodiscus,Twardzioszek czarnoblaszkowy,"Grzyb o małym, białawym kapeluszu z czarnymi blaszkami. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius oreades,Twardzioszek przydrożny,"Grzyb o małym, żółtawym kapeluszu. Rośnie na łąkach i trawnikach. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
Marasmius plicatulus,Twardzioszek fałdowany,"Grzyb o małym, białawym, fałdowanym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius rotula,Twardzioszek kołkowaty,"Grzyb o małym, białym kapeluszu z ciemniejszym środkiem. Rośnie na martwych gałązkach drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius siccus,Twardzioszek suchy,"Grzyb o małym, brązowawym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius strictipes,Twardzioszek sztywnotrzonowy,"Grzyb o małym, białawym kapeluszu i sztywnym trzonie. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Marasmius sullivantii,Twardzioszek Sullivanta,"Grzyb o małym, białawym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Megacollybia platyphylla,Pieniążnica szerokoblaszkowa,"Grzyb o dużym, szarobrązowym kapeluszu z szerokimi blaszkami. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Megacollybia rodmanii,Pieniążnica Rodmana,"Grzyb o dużym, szarobrązowym kapeluszu. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Melanoleuca,Pieniążek,Rodzaj grzybów o brązowych kapeluszach. Rosną na ziemi w lasach i na łąkach. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Melanoleuca alboflavida,Pieniążek żółtobiały,Grzyb o białawym kapeluszu z żółtawym odcieniem. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Meripilus sumstinei,Żagiew wielkopora,"Grzyb o dużych, wachlarzowatych owocnikach. Rośnie u podstawy drzew liściastych. Owocniki pojawiają się latem i jesienią",Jadalny (gdy młody),Nie trujący,"Liściasty
"
Merulius tremellosus,Stroczek galaretowaty,"Grzyb o galaretowatym, fałdowanym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Liściasty
"
Microglossum rufum,Małozorek rdzawy,"Grzyb o maczugowatym, rdzawym owocniku. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Micropsalliota,Drobnołuszczak,Rodzaj małych grzybów o łuskowatych kapeluszach. Rosną na ziemi w lasach i ogrodach. Owocniki pojawiają się latem i jesienią,Niejadalny,Niektóre trujące,"Mieszany
"
Morchella,Smardz,Rodzaj grzybów o jamistych kapeluszach. Rosną na ziemi w lasach i sadach. Owocniki pojawiają się wiosną,Jadalny (po obróbce),Trujący (na surowo),"Mieszany
"
Morchella americana,Smardz amerykański,"Grzyb o jamistym, żółtobrązowym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się wiosną",Jadalny (po obróbce),Trujący (na surowo),"Liściasty
"
Morchella angusticeps,Smardz stożkowaty,"Grzyb o stożkowatym, jamistym kapeluszu. Rośnie na ziemi w lasach liściastych. Owocniki pojawiają się wiosną",Jadalny (po obróbce),Trujący (na surowo),"Liściasty
"
